           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-09-28T03:13:07Z           0           0            0             0(�)       0(0)             0             0        27111        124480            0          -1           0
2016-09-28T03:13:07Z CRAWL RUNNING - Preparing
2016-09-28T03:13:08Z           1           1            0             0(0)       0(0)             0             0        47942        123712            ∞           1           1
2016-09-28T03:13:08Z CRAWL PAUSED - Paused
2016-09-28T03:13:27Z           1           1            0             0(0)       0(0)             0             0        48791        123712            ∞           1           1
2016-09-28T03:13:47Z           1           1            0             0(0)       0(0)             0             0        53275        123712            ∞           1           1
2016-09-28T03:14:07Z           1           1            0             0(0)       0(0)             0             0        55933        123712            ∞           1           1
2016-09-28T03:14:27Z           1           1            0             0(0)       0(0)             0             0        45395        135040            ∞           1           1
2016-09-28T03:14:47Z           1           1            0             0(0)       0(0)             0             0        45395        135040            ∞           1           1
2016-09-28T03:15:07Z           1           1            0             0(0)       0(0)             0             0        49443        135040            ∞           1           1
2016-09-28T03:15:27Z           1           1            0             0(0)       0(0)             0             0        51958        135040            ∞           1           1
2016-09-28T03:15:41Z CRAWL RUNNING - Running
2016-09-28T03:15:47Z           3           1            2        0.1(0.33)       0(0)             0             0        64321        135040            1           1           1
2016-09-28T03:16:07Z        1103         625          292       14.5(11.2)   157(120)             0             4        69160        135552            1         406          12
2016-09-28T03:16:27Z        1162         579          397       5.25(8.62)     59(94)             0             2        67306        110208            1         435          24
2016-09-28T03:16:47Z        1251         619          446       2.45(6.75)   235(137)             0             1        62904        108800            1         513          44
2016-09-28T03:17:07Z        1311         650          475       1.45(5.52)   271(168)             0             0        53643        127360            1         567          65
2016-09-28T03:17:27Z        1356         681          489        0.7(4.61)    38(143)             0             1        58839        124480            1         606          68
2016-09-28T03:17:47Z        1356         668          502       0.65(3.98)    22(124)             0             2        63212        124480            1         600          66
2016-09-28T03:18:07Z        1392         664          542          2(3.71)    17(109)             0             1        53907        107328            1         594          51
2016-09-28T03:18:27Z        1392         648          558        0.8(3.36)     17(98)             0             3        61419        107328            1         587          64
2016-09-28T03:18:47Z        1393         634          573       0.75(3.08)   219(111)             0             1        66454        107328            1         581          63
2016-09-28T03:19:07Z        1495         723          586       0.65(2.84)    17(102)             0             1        61113        121920            1         676          72
2016-09-28T03:19:27Z        1495         711          598        0.6(2.65)      1(93)             0             2        64229        121920            1         671          71
2016-09-28T03:19:47Z        1495         700          609       0.55(2.47)      2(86)             0             1        68593        121920            1         664          77
2016-09-28T03:20:07Z        1495         694          615        0.3(2.31)      1(79)             0             2        72187        121920            1         658          77
2016-09-28T03:20:27Z        1495         686          623        0.4(2.18)      3(74)             0             1        58505        106304            1         651          76
2016-09-28T03:20:47Z        1495         681          628       0.25(2.05)      1(69)             0             2        63179        106304            1         646          75
2016-09-28T03:21:07Z        1495         674          635       0.35(1.95)      2(65)             0             1        68114        106304            1         640          74
2016-09-28T03:21:27Z        1504         676          642       0.35(1.86)      0(61)             0             1        70925        106304            1         642          75
