[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
9232 87347585 www.datatang.com 0 41581 9232 87347585 0 0 0 0 
578 45815470 image.datatang.com 0 0 578 45815470 0 0 0 0 
331 11995420 www.datamall.com 0 0 331 11995420 0 0 0 0 
53 5419876 files.datamall.com 0 0 53 5419876 0 0 0 0 
39 2800 dns: 0 0 39 2800 0 0 0 0 
27 194303 math.nist.gov 0 0 27 194303 0 0 0 0 
17 859312 wwwimages2.adobe.com 0 0 17 859312 0 0 0 0 
11 1156941 datatang.com 0 0 11 1156941 0 0 0 0 
7 30223 get.adobe.com 0 0 7 30223 0 0 0 0 
7 13669 www.w3.org 0 0 7 13669 0 0 0 0 
6 94355 mrdata.usgs.gov 0 0 6 94355 0 0 0 0 
6 1296 tin.er.usgs.gov 0 0 6 1296 0 0 0 0 
5 35145 wpa.b.qq.com 0 0 5 35145 0 0 0 0 
5 69355 www.microsoft.com 0 0 5 69355 0 0 0 0 
4 7032 bdimg.share.baidu.com 0 0 4 7032 0 0 0 0 
4 2509 sstats.adobe.com 0 0 4 2509 0 0 0 0 
3 15704 kobus.ca 0 0 3 15704 0 0 0 0 
3 24558 www.adobe.com 0 0 3 24558 0 0 0 0 
3 3860 www.math.unm.edu 0 0 3 3860 0 0 0 0 
2 227013 assets.adobedtm.com 0 0 2 227013 0 0 0 0 
2 1110 combo.b.qq.com 0 0 2 1110 0 0 0 0 
2 11446 data.gov.au 0 0 2 11446 0 0 0 0 
2 21099 fonts.adobe.com 0 0 2 21099 0 0 0 0 
2 475 isdspeed.qq.com 0 0 2 475 0 0 0 0 
2 3680 nfdp.ccfm.org 0 0 2 3680 0 0 0 0 
2 527 promreport.crm2.qq.com 0 0 2 527 0 0 0 0 
2 32492 www.geosoft.com 0 0 2 32492 0 0 0 0 
2 41849 www.stern.nyu.edu 0 0 2 41849 0 0 0 0 
2 7203 www.univie.ac.at 0 0 2 7203 0 0 0 0 
1 669 exploringdata.net 5 0 1 669 0 0 0 0 
1 2795 www.baidu.com 1 0 1 2795 0 0 0 0 
0 0 cosmal.ucsd.edu 0 2 0 0 0 0 0 0 
0 0 localhost 0 0 0 0 0 0 0 0 
0 0 www.51xuewen.com 0 2 0 0 0 0 0 0 
0 0 www.emolecules.com 0 4 0 0 0 0 0 0 
0 0 www.google.com 0 2 0 0 0 0 0 0 
0 0 www40.statcan.ca 0 3 0 0 0 0 0 0 
0 0 cosmal.ucsd.edu 0 2 0 0 0 0 0 0 
0 0 www.51xuewen.com 0 2 0 0 0 0 0 0 
0 0 www.emolecules.com 0 4 0 0 0 0 0 0 
0 0 www.google.com 0 2 0 0 0 0 0 0 
